date,FEZ Price,EWJ Price,Z-Score,long_size,long_etf
2006-05-22,25.611980438232422,43.03140640258789,0.7856589668836429,-39282948.34418214,nan
2006-05-23,25.689212799072266,42.42103576660156,0.651638867214859,-32581943.36074295,nan
2006-05-24,25.623010635375977,42.51258087158203,0.6823852496013832,-34119262.48006916,nan
2006-05-25,26.18567657470703,43.03140640258789,0.6738403538979281,-33692017.6948964,nan
2006-05-26,26.345640182495117,43.580726623535156,0.7497295113669219,-37486475.5683461,nan
2006-05-30,25.771963119506836,42.42103576660156,0.6355100745198665,-31775503.725993328,nan
2006-05-31,26.042247772216797,42.72621154785156,0.6423106739152681,-32115533.695763405,nan
2006-06-01,26.323570251464844,42.90932083129883,0.6231680256854524,-31158401.28427262,nan
2006-06-02,26.43391227722168,43.39762878417969,0.6968370344861393,-34841851.72430696,nan
2006-06-05,25.8050537109375,42.298954010009766,0.605265567669547,-30263278.38347735,nan
2006-06-06,25.562334060668945,41.62753677368164,0.5217084955266585,-26085424.776332926,nan
2006-06-07,25.303077697753906,40.711971282958984,0.3937878565412155,-19689392.827060774,nan
2006-06-08,24.88384246826172,39.39966583251953,0.21972031964123717,-10986015.98206186,nan
2006-06-09,24.773513793945312,39.2165641784668,0.20553620170912368,-10276810.085456183,nan
2006-06-12,24.370830535888672,38.85032272338867,0.2126390417052174,-10631952.08526087,nan
2006-06-13,23.78610610961914,37.507503509521484,0.06487944865343173,-3243972.4326715865,nan
2006-06-14,24.199825286865234,38.45357894897461,0.16864054284529456,-8432027.142264728,nan
2006-06-15,24.966588973999023,39.826934814453125,0.2868708946257664,-14343544.731288321,nan
2006-06-16,24.736886978149414,39.4607048034668,0.2602603384172251,-13013016.920861255,nan
2006-06-19,24.53423309326172,39.2470817565918,0.2581223486329932,-12906117.43164966,nan
2006-06-20,24.843856811523438,39.33863067626953,0.21561758007267806,-10780879.003633903,nan
2006-06-21,25.294219970703125,39.85745620727539,0.22896152118121926,-11448076.059060963,nan
2006-06-22,25.102825164794922,39.67434310913086,0.2305757016095161,-11528785.080475805,nan
2006-06-23,25.040891647338867,39.491233825683594,0.20695743887572401,-10347871.9437862,nan
2006-06-26,25.142223358154297,39.826934814453125,0.25263815018107366,-12631907.509053683,nan
2006-06-27,24.663711547851562,39.125,0.20909096754407858,-10454548.377203928,nan
2006-06-28,24.917043685913086,39.61330795288086,0.2548898984201787,-12744494.921008933,nan
2006-06-29,25.88534164428711,41.29182815551758,0.3933186958547783,-19665934.792738914,nan
2006-06-30,26.262542724609375,41.62753677368164,0.3852314362884105,-19261571.814420525,nan
2006-07-03,26.504621505737305,42.359989166259766,0.4808097286821984,-24040486.43410992,nan
2006-07-05,25.964162826538086,40.95612716674805,0.3125245414786108,-15626227.073930541,nan
2006-07-06,26.31321144104004,41.32235336303711,0.31587260894458064,-15793630.447229031,nan
2006-07-07,26.127431869506836,41.13923645019531,0.3163915854249819,-15819579.271249095,nan
2006-07-10,26.28505516052246,41.7496223449707,0.40463914915327354,-20231957.457663678,nan
2006-07-11,26.234384536743164,41.7496223449707,0.41451531618646864,-20725765.809323434,nan
2006-07-12,25.795289993286133,40.58989715576172,0.2740578263066328,-13702891.31533164,nan
2006-07-13,25.27171516418457,39.55226516723633,0.1738633942587312,-8693169.71293656,nan
2006-07-14,25.09719467163086,39.2165641784668,0.14244784449060072,-7122392.224530036,nan
2006-07-17,24.714372634887695,38.72825622558594,0.12188767669074914,-6094383.834537457,nan
